year,fips,naics,emp
2014,01065,52----,67
2014,01065,53----,6
2014,01065,54----,38
2014,01065,56----,16
2014,01065,61----,50
2014,01065,62----,401
2014,01065,72----,145
2014,01065,81----,47
2014,01067,11----,251
2014,01067,21----,9
2014,01067,22----,59
2014,01067,23----,123
2014,01067,31----,362
2014,01067,42----,110
2014,01067,44----,339
2014,01067,48----,374
2014,01067,51----,9
2014,01067,52----,96
2014,01067,53----,5
2014,01067,54----,123
2014,01067,55----,19
2014,01067,56----,54
2014,01067,61----,59
2014,01067,62----,189
2014,01067,72----,226
2014,01067,81----,173
2014,01069,11----,9
2014,01069,22----,556
2014,01069,23----,1862
2014,01069,31----,4265
2014,01069,42----,3166
2014,01069,44----,7919
2014,01069,48----,1282
2014,01069,51----,1070
2014,01069,52----,1172
2014,01069,53----,455
2014,01069,54----,1071
2014,01069,55----,710
2014,01069,56----,1924
2014,01069,61----,424
2014,01069,62----,9546
2014,01069,71----,425
2014,01069,72----,4598
2014,01069,81----,2105
2014,01069,99----,7
2014,01071,11----,9
2014,01071,21----,13
2014,01071,22----,59
2014,01071,23----,273
2014,01071,31----,5355
2014,01071,42----,553
2014,01071,44----,1924
2014,01071,48----,234
2014,01071,51----,72
2014,01071,52----,329
2014,01071,53----,81
2014,01071,54----,174
2014,01071,55----,59
2014,01071,56----,338
2014,01071,61----,9
2014,01071,62----,1832
2014,01071,71----,9
2014,01071,72----,1001
2014,01071,81----,414
2014,01073,11----,124
2014,01073,21----,1470
2014,01073,22----,6484
2014,01073,23----,18775
2014,01073,31----,24155
2014,01073,42----,16764
2014,01073,44----,39878
2014,01073,48----,12664
2014,01073,51----,8600
2014,01073,52----,22931
2014,01073,53----,5539
2014,01073,54----,15566
2014,01073,55----,8047
2014,01073,56----,25432
2014,01073,61----,6783
2014,01073,62----,52905
2014,01073,71----,4127
2014,01073,72----,28747
2014,01073,81----,19404
2014,01073,99----,19
2014,01075,11----,115
2014,01075,21----,9
2014,01075,22----,9
2014,01075,23----,69
2014,01075,31----,1118
2014,01075,42----,30
2014,01075,44----,308
2014,01075,48----,304
2014,01075,51----,10
2014,01075,52----,99
2014,01075,53----,36
2014,01075,54----,56
2014,01075,56----,9
2014,01075,61----,9
2014,01075,62----,367
2014,01075,71----,9
2014,01075,72----,157
2014,01075,81----,141
2014,01077,11----,110
2014,01077,22----,9
2014,01077,23----,1394
2014,01077,31----,3787
2014,01077,42----,1242
2014,01077,44----,5490
2014,01077,48----,170
2014,01077,51----,468
2014,01077,52----,987
2014,01077,53----,347
2014,01077,54----,806
2014,01077,55----,119
2014,01077,56----,474
2014,01077,61----,374
2014,01077,62----,4672
2014,01077,71----,289
2014,01077,72----,4378
2014,01077,81----,1336
2014,01077,99----,6
2014,01079,11----,9
2014,01079,22----,174
2014,01079,23----,206
2014,01079,31----,418
2014,01079,42----,81
2014,01079,44----,795
2014,01079,48----,71
2014,01079,52----,104
2014,01079,53----,6
2014,01079,54----,111
2014,01079,56----,56
2014,01079,62----,703
2014,01079,71----,5
2014,01079,72----,548
2014,01079,81----,253
2014,01079,99----,3
2014,01081,11----,71
2014,01081,21----,59
2014,01081,22----,230
2014,01081,23----,1632
2014,01081,31----,6520
2014,01081,42----,683
2014,01081,44----,6702
2014,01081,48----,2002
2014,01081,51----,688
2014,01081,52----,1012
2014,01081,53----,590
2014,01081,54----,1363
2014,01081,55----,59
2014,01081,56----,3386
2014,01081,61----,232
2014,01081,62----,5721
2014,01081,71----,390
2014,01081,72----,6371
2014,01081,81----,1816
2014,01083,11----,59
2014,01083,21----,19
2014,01083,23----,942
2014,01083,31----,3380
2014,01083,42----,591
2014,01083,44----,2908
2014,01083,48----,968
2014,01083,51----,203
2014,01083,52----,360
2014,01083,53----,153
2014,01083,54----,786
2014,01083,55----,50
2014,01083,56----,625
2014,01083,61----,59
2014,01083,62----,2052
2014,01083,71----,59
2014,01083,72----,1776
2014,01083,81----,1012
2014,01085,11----,46
2014,01085,21----,45
2014,01085,22----,9
2014,01085,23----,202
2014,01085,31----,1177
2014,01085,42----,59
2014,01085,44----,173
2014,01085,48----,90
2014,01085,51----,9
2014,01085,52----,27
2014,01085,54----,9
2014,01085,55----,19
2014,01085,61----,59
2014,01085,62----,111
2014,01085,71----,9
2014,01085,72----,26
2014,01085,81----,58
2014,01087,11----,9
2014,01087,21----,32
2014,01087,23----,35
2014,01087,31----,587
2014,01087,42----,9
2014,01087,44----,395
2014,01087,48----,37
2014,01087,52----,42
2014,01087,54----,59
2014,01087,56----,184
2014,01087,61----,1627
2014,01087,62----,1751
2014,01087,71----,4
2014,01087,72----,405
2014,01087,81----,100
2014,01089,11----,19
2014,01089,21----,25
2014,01089,22----,59
2014,01089,23----,5032
2014,01089,31----,15946
2014,01089,42----,5731
2014,01089,44----,19507
2014,01089,48----,2820
2014,01089,51----,4948
2014,01089,52----,3689
2014,01089,53----,1844
2014,01089,54----,33782
2014,01089,55----,602
2014,01089,56----,9796
2014,01089,61----,3060
2014,01089,62----,22646
2014,01089,71----,1548
2014,01089,72----,15698
2014,01089,81----,7633
2014,01089,99----,16
2014,01091,11----,263
2014,01091,22----,174
2014,01091,23----,317
2014,01091,31----,1432
2014,01091,42----,128
2014,01091,44----,907
2014,01091,48----,253
2014,01091,51----,59
2014,01091,52----,233
2014,01091,53----,89
2014,01091,54----,80
2014,01091,56----,278
2014,01091,61----,55
2014,01091,62----,1064
2014,01091,71----,36
2014,01091,72----,454
2014,01091,81----,279
2014,01093,11----,74
2014,01093,21----,9
2014,01093,22----,59
2014,01093,23----,142
2014,01093,31----,2458
2014,01093,42----,167
2014,01093,44----,1031
2014,01093,48----,464
2014,01093,51----,59
2014,01093,52----,404
2014,01093,53----,27
2014,01093,54----,75
2014,01093,55----,7
2014,01093,56----,385
2014,01093,61----,9
2014,01093,62----,1205
2014,01093,71----,7
2014,01093,72----,569
2014,01093,81----,230
2014,01095,11----,15
2014,01095,21----,59
2014,01095,22----,78
2014,01095,23----,892
2014,01095,31----,10349
2014,01095,42----,1340
2014,01095,44----,4748
2014,01095,48----,758
2014,01095,51----,472
2014,01095,52----,765
2014,01095,53----,572
2014,01095,54----,595
2014,01095,55----,401
2014,01095,56----,1176
2014,01095,61----,45
2014,01095,62----,3828
2014,01095,71----,85
2014,01095,72----,2885
2014,01095,81----,988
2014,01097,11----,513
2014,01097,21----,305
2014,01097,22----,1213
2014,01097,23----,9031
2014,01097,31----,16571
2014,01097,42----,6877
2014,01097,44----,20370
2014,01097,48----,6263
2014,01097,51----,2932
2014,01097,52----,5400
2014,01097,53----,2616
2014,01097,54----,8911
2014,01097,55----,2698
2014,01097,56----,13109
2014,01097,61----,3284
2014,01097,62----,19403
2014,01097,71----,1848
2014,01097,72----,13313
2014,01097,81----,7818
2014,01097,99----,6
2014,01099,11----,211
2014,01099,21----,9
2014,01099,22----,78
2014,01099,23----,149
2014,01099,31----,1138
2014,01099,42----,179
2014,01099,44----,890
2014,01099,48----,751
2014,01099,51----,74
2014,01099,52----,203
2014,01099,53----,40
2014,01099,54----,59
2014,01099,55----,59
2014,01099,56----,129
2014,01099,61----,59
2014,01099,62----,615
2014,01099,71----,38
2014,01099,72----,346
2014,01099,81----,249
2014,01099,99----,3
2014,01101,11----,23
2014,01101,21----,43
2014,01101,22----,701
2014,01101,23----,3927
2014,01101,31----,12884
2014,01101,42----,6787
2014,01101,44----,12616
2014,01101,48----,4357
2014,01101,51----,1799
2014,01101,52----,4132
2014,01101,53----,1997
2014,01101,54----,5987
2014,01101,55----,1067
2014,01101,56----,10120
2014,01101,61----,2462
2014,01101,62----,16446
2014,01101,71----,1681
2014,01101,72----,10631
2014,01101,81----,5653
2014,01103,11----,15
2014,01103,21----,43
